,id,rsci
0,A199825,1
1,D200022,1
2,Z200119,1
3,E20014,1
4,A20029,1
5,L20031,1
6,D20041,1
7,G200518,1
8,G20071,1
9,O20083,1
10,B200910,1
11,D20103,1
12,H20127,1
13,A20121,1
14,N20136,1
15,A20141,1
16,E20157,1
17,R199832,2
18,K200343,2
19,E20017,2
20,C20033,2
21,L20047,2
22,S20044,2
23,J200737,2
24,K20072,2
25,K20085,2
26,J200917,2
27,J20101,2
28,J201221,2
29,A201210,2
30,S201314,2
31,J20147,2
32,J20153,2
33,K199840,3
34,D20006,3
35,D20003,3
36,D20026,3
37,R20055,3
38,S200625,3
39,A200415,3
40,M200540,3
41,B20078,3
42,E20087,3
43,T20094,3
44,D20105,3
45,K20111,3
46,M20122,3
47,K201430,3
48,A20144,3
49,D200233,4
50,J20022,4
51,G200125,4
52,T20012,4
53,R200514,4
54,N200326,4
55,J200417,4
56,A200549,4
57,S200710,4
58,M20082,4
59,J201214,4
60,J201149,4
61,B20123,4
62,A201544,4
63,S20158,4
64,S20002,5
65,J200121,5
66,O200146,5
67,C20057,5
68,R20068,5
69,M20056,5
70,T200918,5
71,D20081,5
72,D20099,5
73,A201019,5
74,B20118,5
75,Q201238,5
76,S201312,5
77,J20142,5
78,M201511,5
79,M200251,6
80,K20011,6
81,C20034,6
82,K200327,6
83,S200413,6
84,T200913,6
85,T200712,6
86,K201133,6
87,G20107,6
88,X201012,6
89,T201119,6
90,A20131,6
91,T201524,6
92,D200023,7
93,C200438,7
94,J200520,7
95,J200348,7
96,M20052,7
97,L200545,7
98,C200944,7
99,B200847,7
100,A20108,7
101,L201040,7
102,P201228,7
103,M201229,7
104,K20151,7
105,J20009,8
106,D20018,8
107,P200634,8
108,C20054,8
109,J200418,8
110,J200713,8
111,W200928,8
112,J200811,8
113,B200924,8
114,E20113,8
115,K201515,8
116,Q200018,9
117,C200234,9
118,J19995,9
119,C200210,9
120,R200355,9
121,S20065,9
122,R200412,9
123,R200849,9
124,B200810,9
125,D200828,9
126,D201043,9
127,W201240,9
128,M20146,9
129,D201548,9
130,M200336,10
131,D200530,10
132,S200513,10
133,M200848,10
134,M200834,10
135,J200819,10
136,E201013,10
137,T201218,10
138,G201340,10
139,N20149,10
140,K201530,10
141,V200232,11
142,J200331,11
143,J200211,11
144,L200649,11
145,G200912,11
146,P201014,11
147,R201348,11
148,R201343,11
149,J201417,11
150,R201517,11
151,T200223,12
152,E200028,12
153,J200611,12
154,K200414,12
155,G200735,12
156,A200510,12
157,D200827,12
158,N200945,12
159,T201047,12
160,T20114,12
161,C20134,12
162,A201329,12
163,J201525,12
164,L199929,13
165,O200131,13
166,J200631,13
167,B200547,13
168,L20062,13
169,J200719,13
170,K200823,13
171,C201129,13
172,P201426,13
173,S201518,13
174,T201512,13
175,M20005,14
176,K200153,14
177,D200429,14
178,V200539,14
179,D200829,14
180,C200534,14
181,D200721,14
182,D200835,14
183,W201054,14
184,R201325,14
185,R201523,14
186,J201510,14
187,J20015,15
188,B200533,15
189,J200858,15
190,S200617,15
191,C201118,15
192,A201357,15
193,F201222,15
194,K20138,15
195,A200150,16
196,D201024,16
197,A200814,16
198,K20119,16
199,E201022,16
200,D201029,16
201,T201225,16
202,D20152,16
203,C199913,17
204,M200347,17
205,T200323,17
206,L200527,17
207,J200830,17
208,A200556,17
209,V201152,17
210,B20091,17
211,D201358,17
212,B201522,17
213,C200222,18
214,T20038,18
215,D200946,18
216,D201058,18
217,J20093,18
218,M201322,18
219,T201337,18
220,G201419,18
221,T201516,18
222,C200054,19
223,J20046,19
224,J200938,19
225,S201059,19
226,N201121,19
227,T201217,19
228,B201556,19
229,K200010,20
230,B200324,20
231,A200515,20
232,D200642,20
233,R200815,20
234,G201046,20
235,L201016,20
236,D201513,20
237,W200529,21
238,D200646,21
239,T200443,21
240,J200626,21
241,J20096,21
242,A201415,21
243,G201440,21
244,F200225,22
245,D20024,22
246,H200654,22
247,R200621,22
248,M20074,22
249,M201143,22
250,N200312,23
251,J200246,23
252,C201011,23
253,D20124,23
254,N201442,23
255,J20143,23
256,D199920,24
257,J200440,24
258,A200952,24
259,B200813,24
260,E200914,24
261,E201155,24
262,I201117,24
263,R201336,24
264,C20028,25
265,C20077,25
266,S201050,25
267,T20125,25
268,D201242,25
269,R201536,25
270,J200110,26
271,D200419,26
272,D200935,26
273,T201137,26
274,R201423,26
275,T201414,26
276,C201529,26
277,B200141,27
278,M20023,27
279,O200553,27
280,A200727,27
281,Q201026,27
282,R201216,27
283,M201311,27
284,M201421,27
285,T201418,27
286,R200238,28
287,A20049,28
288,K201213,28
289,D200554,29
290,C200542,29
291,J201020,29
292,J201339,29
293,J201223,29
294,M201211,29
295,M200138,30
296,S200126,30
297,D200532,30
298,J200522,30
299,M200733,30
300,D20089,30
301,J201126,30
302,D200753,31
303,K200624,31
304,P201356,31
305,B200445,32
306,A200726,32
307,R200954,32
308,T20128,32
309,R200113,33
310,J200526,33
311,M201051,33
312,K200220,34
313,T201135,34
314,D201445,34
315,O20133,34
316,R200551,35
317,S200842,35
318,A200915,35
319,D201153,35
320,S200115,36
321,D200640,36
322,G200732,36
323,D201246,36
324,R200252,37
325,R200230,37
326,C200615,37
327,S200617,37
328,D200937,37
329,J201436,37
330,M200345,38
331,R200454,38
332,J201533,38
333,J20008,39
334,J201458,39
335,B20137,39
336,W20156,39
337,R200315,40
338,M20039,40
339,R200614,40
340,C201138,40
341,S201553,40
342,T200538,41
343,T200926,41
344,B20043,42
345,M200622,42
346,C200840,42
347,E201349,42
348,J201439,42
349,T200237,43
350,A200645,43
351,M201215,43
352,C200741,44
353,S200856,44
354,A200645,45
355,L201352,45
356,T200114,46
357,T200911,46
358,M201114,46
359,L201352,46
360,B20066,47
361,A20073,47
362,J200916,47
363,R201351,47
364,J201521,47
365,J201127,48
366,S201323,48
367,S200244,49
368,D20053,49
369,J200857,49
370,S200936,49
371,G201321,49
372,N201546,51
373,I20059,52
374,C201021,52
375,M201113,52
376,Z201413,52
377,J200751,53
378,E20102,53
379,F200214,54
380,M200245,54
381,K201115,54
382,S200338,55
383,E201018,55
384,S201455,55
385,M200628,56
386,J200919,56
387,R200452,57
388,D200249,58
389,R20067,58
390,J200941,58
391,J201151,58
392,J201422,58
393,J200140,59
394,S200632,59
395,W200723,59
396,K201251,59
397,D201437,59
398,J201558,59
399,C200210,60
400,D200742,60
401,R200744,60
402,A201534,60
403,M200816,61
404,K201111,61
405,K20037,62
406,F200523,62
407,S200851,62
408,R201258,62
409,C200218,63
410,J20079,63
411,M201114,63
412,D200419,64
413,H20092,64
414,A200549,65
415,J200011,66
416,P200647,66
417,E200052,67
418,G200652,68
419,J200736,68
420,S200531,69
421,D200852,69
422,L200314,70
423,A201331,72
424,L200332,73
425,R200535,73
426,A200743,74
427,T201241,75
428,P200942,76
429,A201158,76
430,T201516,76
431,R20019,77
432,J201041,77
433,R200620,78
434,C201460,78
435,J200641,79
436,L201048,79
437,L200243,80
438,S200757,80
439,N20148,80
440,P200635,81
441,M201532,81
442,J200226,82
443,D201032,82
444,M201226,82
445,L201052,83
446,T20139,83
447,W200832,84
448,L201048,85
449,S201424,85
450,D200850,86
451,C200227,87
452,L200555,87
453,C20058,87
454,M200854,87
455,N200716,89
456,J201140,89
457,G201335,89
458,J201212,89
459,D200320,91
460,G201028,93
461,M201113,93
462,W200660,94
463,J200623,95
464,J201231,95
465,D201235,95
466,D200340,96
467,B200637,97
468,P200843,97
469,H201056,97
470,D200921,98
471,G200130,99
472,E20042,99
473,D201042,99
474,J201136,99
475,T200929,100
476,D20112,101
477,H200519,102
478,S201318,102
479,D20035,103
480,R200960,103
481,I201160,104
482,J201543,104
483,A20063,105
484,Q200619,106
485,L201030,107
486,T200752,108
487,J200420,109
488,A200714,110
489,J201519,111
490,J20075,112
491,I201160,112
492,L200524,113
493,P201541,113
494,Q200619,114
495,R20084,114
496,D201141,115
497,S200717,116
498,D201060,116
499,L201448,123
500,K201239,123
501,W200132,124
502,D200859,124
503,J200329,125
504,N200521,125
505,J200931,125
506,J20079,126
507,D200658,126
508,H201033,126
509,J201433,127
510,R200817,129
511,Q201237,129
512,J200329,130
513,D201037,130
514,M201243,130
515,R200960,131
516,X201459,131
517,R201057,132
518,T201036,132
519,T20064,133
520,S201438,133
521,D200747,134
522,C200822,135
523,N200734,137
524,J20098,137
525,J201224,139
526,R201124,140
527,M201444,142
528,D200759,144
529,V20132,146
530,D200441,147
531,T201147,147
532,C201428,148
533,R200821,150
534,C201353,151
535,E20106,153
536,A201354,154
537,K201244,158
538,J201540,159
539,R201260,164
540,A200749,165
